1622,706,484
1614,649,421
1607,607,374
1605,594,350
1604,593,345
1603,593,347
1602,595,349
1600,600,354
1602,603,360
1603,614,370
1609,655,416
1631,754,525
1664,886,673
1710,1023,816
1770,1156,952
1819,1244,1048
1869,1322,1133
1924,1402,1214
1993,1488,1307
2044,1547,1373
2042,1547,1391
2042,1549,1396
2042,1566,1443
2042,1608,1526
2042,1670,1598
2042,1739,1650
2042,1820,1718
2042,1902,1796
2042,1981,1881
2041,2035,1920
2042,2067,1919
2042,2072,1919
2042,2073,1918
2039,2064,1925
2025,2031,1924
1960,1952,1925
1851,1844,1924
1752,1748,1924
1698,1689,1924
1640,1633,1924
1587,1586,1925
1542,1547,1925
1503,1525,1925
1494,1528,1925
1495,1526,1924
1489,1520,1925
1477,1517,1925
1460,1511,1921
1441,1481,1898
1403,1428,1856
1341,1369,1811
1283,1310,1768
1221,1250,1731
1148,1183,1690
1068,1108,1652
986,1024,1614
900,935,1581
811,837,1551
738,756,1529
675,684,1515
622,632,1507
579,594,1504
542,558,1500
534,543,1499
534,543,1499
535,545,1498
539,549,1495
539,550,1495
554,560,1495
612,609,1497
710,715,1519
847,870,1557
993,1021,1610
1107,1141,1663
1222,1257,1728
1343,1380,1812
1465,1502,1912
1527,1535,1925
1555,1521,1925
1599,1523,1925
1665,1537,1925
1748,1578,1925
1822,1629,1925
1882,1673,1925
1946,1726,1925
2020,1789,1925
2040,1861,1925
2040,1938,1925
2040,2021,1925
2039,2070,1925
2040,2079,1925
2040,2080,1924
2041,2080,1925
2042,2077,1924
2043,2004,1925
2042,1873,1925
2042,1751,1925
2042,1654,1925
2042,1569,1924
2042,1491,1924
2042,1431,1925
2042,1420,1925
2042,1420,1925
2034,1393,1925
2029,1390,1925
2029,1383,1924
2024,1376,1923
2008,1359,1908
1979,1338,1881
1918,1287,1819
1822,1192,1723
1705,1042,1605
1608,891,1509
1539,765,1445
1473,612,1377
1417,456,1322
1375,326,1285
1347,218,1257
1323,90,1236
1324,67,1233
1322,70,1232
1322,76,1232
1325,99,1232
1338,150,1235
1369,272,1262
1416,454,1311
1484,641,1380
1565,821,1461
1642,966,1542
1731,1097,1629
1810,1200,1708
1897,1304,1801
1992,1396,1906
2043,1464,1923
2043,1496,1925
2042,1568,1925
2042,1664,1925
2042,1775,1925
2042,1896,1925
2042,2014,1925
2042,2079,1919
2042,2080,1886
2042,2080,1747
2042,2080,1573
2042,2080,1450
2043,2080,1373
2043,2080,1289
2042,2079,1233
2042,2080,1232
2042,2080,1220
2042,2079,1212
2042,2074,1212
2037,2061,1199
2022,2037,1186
1968,1988,1149
1850,1858,1027
1707,1706,847
1594,1593,656
1515,1508,483
1458,1442,313
1417,1399,168
1385,1367,30
1365,1342,4294967195
1365,1343,4294967205
1362,1343,4294967210
1361,1339,4294967242
1376,1343,39
1420,1395,207
1480,1486,434
1586,1626,707
1713,1768,931
1822,1885,1079
1927,2000,1200
2033,2086,1302
2043,2086,1382
2043,2086,1490
2043,2086,1625
2043,2086,1740
2040,2086,1834
2024,2086,1918
1974,2086,1926
1893,2086,1925
1780,2086,1924
1659,2086,1925
1580,2086,1924
1516,2086,1925
1456,2086,1925
1386,2086,1925
1340,2086,1925
1333,2086,1925
1316,2085,1925
1309,2084,1923
1300,2072,1918
1268,2026,1874
1160,1890,1750
970,1723,1595
764,1599,1478
631,1547,1415
529,1503,1375
413,1461,1334
260,1420,1296
109,1390,1263
15,1385,1256
20,1383,1254
20,1384,1254
20,1384,1254
22,1384,1253
32,1382,1252
82,1383,1252
184,1407,1259
348,1454,1295
564,1531,1366
787,1632,1466
985,1753,1586
1161,1886,1719
1274,1994,1829
1361,2092,1926
1376,2087,1925
1423,2091,1926
1510,2091,1926
1619,2091,1926
1714,2091,1926
1802,2091,1926
1886,2091,1926
1954,2091,1926
2025,2090,1926
2042,2087,1926
2041,2081,1921
2025,2074,1887
1959,2024,1836
1826,1887,1736
1664,1681,1584
1489,1480,1398
1357,1348,1272
1239,1255,1178
1163,1209,1115
1164,1135,1051
1223,1062,936
1293,1087,779
1322,1178,626
1333,1320,508
1333,1485,432
1304,1517,448
1252,1539,476
1253,1538,469
1228,1557,487
1128,1600,580
990,1678,720
889,1745,868
880,1719,892
847,1694,956
775,1640,1105
708,1592,1310
699,1576,1462
764,1536,1462
830,1484,1494
928,1406,1547
1009,1324,1596
1075,1237,1633
1137,1146,1657
1188,1098,1618
1293,1039,1561
1430,969,1519
1532,937,1500
1612,938,1494
1630,965,1471
1643,1024,1397
1670,1114,1226
1679,1222,1049
